,name,developer,platform,genre,total_sales,na_sales,eu_sales,japan_sales,other_sales,release_year
0, Grand Theft Auto V    Read the review ,Rockstar North  ,PS3,Action,20.32,6.37,9.85,0.99,3.12,2013
1, Grand Theft Auto V     ,Rockstar North  ,PS4,Action,19.39,6.06,9.71,0.60,3.02,2014
2, Grand Theft Auto: Vice City     ,Rockstar North  ,PS2,Action,16.15,8.41,5.49,0.47,1.78,2002
3, Grand Theft Auto V     ,Rockstar North  ,X360,Action,15.86,9.06,5.33,0.06,1.42,2013
4, Grand Theft Auto III     ,DMA Design  ,PS2,Action,13.10,6.99,4.51,0.30,1.30,2001
5, Grand Theft Auto IV    Read the review ,Rockstar North  ,X360,Action,11.09,6.80,3.11,0.14,1.04,2008
6, Grand Theft Auto IV    Read the review ,Rockstar North  ,PS3,Action,10.57,4.79,3.73,0.44,1.62,2008
7, Grand Theft Auto V     ,Rockstar North  ,XOne,Action,8.72,4.70,3.25,0.01,0.76,2014
8, Grand Theft Auto: Liberty City Stories     ,Rockstar Leeds  ,PSP,Action,7.72,2.90,2.83,0.24,1.74,2005
9, Uncharted 2: Among Thieves    Read the review ,Naughty Dog  ,PS3,Action,6.74,3.28,2.22,0.21,1.02,2009
10, Red Dead Redemption    Read the review ,Rockstar San Diego  ,PS3,Action,6.57,2.82,2.58,0.17,1.00,2011
11, Red Dead Redemption    Read the review ,Rockstar San Diego  ,X360,Action,6.50,3.77,2.03,0.09,0.60,2010
12, Driver     ,Reflections Interactive  ,PS,Action,6.27,3.11,2.80,0.02,0.33,1999
13, Uncharted: The Nathan Drake Collection     ,Bluepoint Games  ,PS4,Action,5.70,2.55,2.11,0.10,0.94,2015
14, LEGO Star Wars: The Complete Saga     ,Traveller's Tales  ,Wii,Action,5.66,3.57,1.57,0.01,0.52,2007
15, Assassin's Creed II    Read the review ,Ubisoft Montreal  ,PS3,Action,5.57,2.54,1.95,0.21,0.86,2009
16, Assassin's Creed    Read the review ,Ubisoft Montreal  ,X360,Action,5.55,3.28,1.64,0.07,0.56,2007
17, Batman: Arkham City    Read the review ,Rocksteady Studios  ,PS3,Action,5.54,2.72,1.89,0.11,0.82,2011
18, Assassin's Creed II    Read the review ,Ubisoft Montreal  ,X360,Action,5.30,3.14,1.55,0.08,0.52,2009
19, Resident Evil 5    Read the review ,Capcom  ,PS3,Action,5.10,1.96,1.42,1.08,0.64,2009
20, Grand Theft Auto: Vice City Stories     ,Rockstar Leeds  ,PSP,Action,5.08,1.70,2.03,0.16,1.19,2006
21, Uncharted: Drake's Fortune    Read the review ,Naughty Dog  ,PS3,Action,4.97,2.32,1.73,0.12,0.80,2007
22, Assassin's Creed    Read the review ,Ubisoft Montreal  ,PS3,Action,4.83,1.91,2.01,0.09,0.82,2007
23, LEGO Star Wars: The Complete Saga     ,Traveller's Tales  ,DS,Action,4.77,2.83,1.49,0.01,0.45,2007
24, Batman: Arkham City     ,Rocksteady Studios  ,X360,Action,4.75,2.99,1.28,0.04,0.44,2011
25, Driver 2     ,Reflections Interactive  ,PS,Action,4.73,2.36,2.10,0.02,0.25,2000
26, The Lord of the Rings: The Two Towers     ,Stormfront Studios  ,PS2,Action,4.67,1.94,1.95,0.08,0.70,2002
27, Tomb Raider     ,Core Design Ltd.  ,PS,Action,4.63,2.29,1.97,0.13,0.24,1996
28, Spider-Man: The Movie     ,Treyarch  ,PS2,Action,4.48,2.71,1.51,0.03,0.23,2002
29, Batman: Arkham Asylum    Read the review ,Rocksteady Studios  ,PS3,Action,4.28,2.26,1.33,0.07,0.63,2009
30, Assassin's Creed: Revelations    Read the review ,Ubisoft Montreal  ,PS3,Action,4.23,1.41,2.03,0.10,0.69,2011
31, Assassin's Creed: Revelations     ,Ubisoft Montreal  ,X360,Action,4.22,2.28,1.47,0.04,0.44,2011
32, Frogger     ,Millenium Interactive  ,PS,Action,4.16,3.79,0.27,0.01,0.11,1997
33, Assassin's Creed: Unity     ,Ubisoft Montreal  ,PS4,Action,4.14,1.25,2.16,0.09,0.65,2014
34, Batman: Arkham Knight     ,Rocksteady Studios  ,PS4,Action,4.11,1.65,1.68,0.11,0.66,2015
35, Assassin's Creed Origins     ,Ubisoft Montreal  ,PS4,Action,4.06,1.22,2.11,0.11,0.63,2017
36, Far Cry 5     ,Ubisoft  ,PS4,Action,3.95,1.44,1.73,0.15,0.62,2018
37, Assassin's Creed Syndicate     ,Ubisoft Quebec  ,PS4,Action,3.60,0.90,2.06,0.08,0.55,2015
38, Assassin's Creed: Unity     ,Ubisoft Montreal  ,XOne,Action,3.58,2.34,0.90,0.00,0.34,2014
39, Grand Theft Auto: Liberty City Stories     ,Rockstar Leeds  ,PS2,Action,3.54,1.56,1.40,0.07,0.50,2006
40, The Getaway     ,Team Soho  ,PS2,Action,3.54,1.23,1.77,0.05,0.49,2003
41, Batman: Arkham Asylum    Read the review ,Rocksteady Studios  ,X360,Action,3.54,2.24,0.95,0.02,0.33,2009
42, Assassin's Creed: Brotherhood     ,Ubisoft Montreal  ,X360,Action,3.53,2.87,0.39,0.03,0.25,2010
43, LEGO Star Wars: The Video Game     ,Traveller's Tales  ,PS2,Action,3.53,1.98,1.14,0.01,0.41,2005
44, Resident Evil 5    Read the review ,Capcom  ,X360,Action,3.53,2.13,0.93,0.12,0.34,2009
45, Rugrats in Paris: The Movie     ,Avalanche Software  ,PS,Action,3.52,1.96,1.33,0.01,0.23,2000
46, Grand Theft Auto 2     ,DMA Design  ,PS,Action,3.42,1.13,2.07,0.01,0.22,1999
47, Spider-Man 2     ,Treyarch  ,PS2,Action,3.41,1.75,1.20,0.02,0.43,2004
48, Watch Dogs 2     ,Ubisoft  ,PS4,Action,3.36,0.98,1.74,0.12,0.52,2016
49, Star Wars Episode III: Revenge of the Sith     ,The Collective  ,PS2,Action,3.32,1.47,1.39,0.03,0.43,2005
50, The Lord of the Rings: The Return of the King     ,"Hypnos Entertainment, Inc.  ",PS2,Action,3.28,1.50,1.28,0.05,0.46,2003
51, True Crime: Streets of LA     ,Luxoflux  ,PS2,Action,3.27,1.89,1.05,0.02,0.31,2003
52, Enter the Matrix     ,Shiny Entertainment  ,PS2,Action,3.18,1.78,1.12,0.09,0.19,2003
53, Spider-Man     ,Neversoft Entertainment  ,PS,Action,3.13,1.70,1.25,0.02,0.16,2000
54, Resident Evil 6    Read the review ,Capcom  ,PS3,Action,3.12,0.88,0.97,0.88,0.39,2012
55, Saints Row 2     ,Volition Inc.  ,X360,Action,3.07,1.98,0.79,0.02,0.28,2008
56, Metal Gear Solid V: The Phantom Pain     ,Kojima Productions  ,PS4,Action,3.04,0.97,1.15,0.50,0.42,2015
57, Tom Clancy's Splinter Cell     ,Ubisoft  ,XB,Action,3.02,1.85,1.04,0.01,0.13,2002
58, Hitman 2: Silent Assassin     ,IO Interactive  ,PS2,Action,2.96,1.36,1.15,0.04,0.41,2002
59, Assassin's Creed: Brotherhood    Read the review ,Ubisoft Montreal  ,PS3,Action,2.85,1.87,0.57,0.11,0.30,2010
60, Skylanders: Spyro's Adventure     ,Toys for Bob  ,Wii,Action,2.79,1.35,1.15,0.01,0.30,2011
